<<<<<<< HEAD
Feature no.,Domain,Industry,Sub-domain,Description,Priority,Mandatory,Open-source providers,Comm. providers
51,Industry-Specific AI Applications,Telecom,Network optimization,"Deploy an AI capability for network optimization in telecom workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P0,Yes,"Weaviate, Seldon, OpenCV, Ray, dbt","Elastic, OpenAI, DataRobot, Google Cloud, Cloudflare"
52,Industry-Specific AI Applications,Telecom,Churn prediction & retention,"Deploy an AI capability for churn prediction & retention in telecom workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Hugging Face Transformers, Seldon, Ray, Qdrant, FAISS","SAP, IBM watsonx, Snowflake, DataRobot, Anthropic"
53,Industry-Specific AI Applications,Telecom,Fraud & SIM-swap detection,"Deploy an AI capability for fraud & sim-swap detection in telecom workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"FAISS, Argo Workflows, Feast, Seldon, Milvus","Scale AI, Salesforce, OpenAI, Databricks, Oracle"
54,Industry-Specific AI Applications,Telecom,Customer support automation,"Deploy an AI capability for customer support automation in telecom workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Seldon, LlamaIndex, MLflow, Prometheus, Trino","AWS, Microsoft Azure, Databricks, Anthropic, Snowflake"
55,Industry-Specific AI Applications,Telecom,Capacity planning,"Deploy an AI capability for capacity planning in telecom workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"OpenTelemetry, Rasa, Haystack, Grafana, spaCy","Snowflake, MongoDB Atlas, DataRobot, OpenAI, Twilio"
56,Industry-Specific AI Applications,Telecom,5G slicing analytics,"Deploy an AI capability for 5g slicing analytics in telecom workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Great Expectations, Weaviate, PostgreSQL, LlamaIndex, Prometheus","Databricks, Cloudflare, Scale AI, Oracle, AWS"
57,Industry-Specific AI Applications,Telecom,IoT fleet analytics,"Deploy an AI capability for iot fleet analytics in telecom workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"KServe, FAISS, Feast, Weaviate, PostgreSQL","Cohere, UiPath, Databricks, Pinecone, Scale AI"
58,Industry-Specific AI Applications,Telecom,Revenue assurance,"Deploy an AI capability for revenue assurance in telecom workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Great Expectations, Ray, PostgreSQL, Kafka, MLflow","Snowflake, Twilio, Pinecone, ServiceNow, Cohere"
59,Industry-Specific AI Applications,Telecom,Field service optimization,"Deploy an AI capability for field service optimization in telecom workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"PostgreSQL, Haystack, Argo Workflows, Seldon, Airflow","Databricks, Zendesk, OpenAI, Anthropic, Snowflake"
60,Industry-Specific AI Applications,Telecom,Call quality analytics,"Deploy an AI capability for call quality analytics in telecom workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Grafana, Hugging Face Transformers, LlamaIndex, OpenCV, scikit-learn","Oracle, UiPath, Cloudflare, Anthropic, Databricks"
61,Industry-Specific AI Applications,Logistics & Transportation,Route optimization,"Deploy an AI capability for route optimization in logistics & transportation workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"KServe, OpenTelemetry, dbt, PyTorch, scikit-learn","Databricks, Elastic, Confluent, ServiceNow, OpenAI"
62,Industry-Specific AI Applications,Logistics & Transportation,ETA prediction,"Deploy an AI capability for eta prediction in logistics & transportation workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Weaviate, OpenTelemetry, Feast, Airflow, dbt","Google Cloud, DataRobot, OpenAI, AWS, Microsoft Azure"
63,Industry-Specific AI Applications,Logistics & Transportation,Warehouse picking optimization,"Deploy an AI capability for warehouse picking optimization in logistics & transportation workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"MLflow, Airflow, Kubeflow, scikit-learn, Feast","Cohere, NVIDIA, Confluent, OpenAI, Elastic"
64,Industry-Specific AI Applications,Logistics & Transportation,Last-mile delivery optimization,"Deploy an AI capability for last-mile delivery optimization in logistics & transportation workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"MLflow, ONNX, OpenTelemetry, Qdrant, Hugging Face Transformers","Zendesk, OpenAI, Salesforce, SAP, Palantir"
65,Industry-Specific AI Applications,Logistics & Transportation,Fleet predictive maintenance,"Deploy an AI capability for fleet predictive maintenance in logistics & transportation workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Weaviate, spaCy, FAISS, Airflow, PostgreSQL","ServiceNow, AWS, Pinecone, Cloudflare, Microsoft Azure"
66,Industry-Specific AI Applications,Logistics & Transportation,Cargo theft risk analytics,"Deploy an AI capability for cargo theft risk analytics in logistics & transportation workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Kubeflow, FAISS, Qdrant, spaCy, Grafana","ServiceNow, SAP, Databricks, MongoDB Atlas, Cohere"
67,Industry-Specific AI Applications,Logistics & Transportation,Customs & trade compliance,"Deploy an AI capability for customs & trade compliance in logistics & transportation workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Weaviate, dbt, PyTorch, Haystack, Argo Workflows","Google Cloud, Cloudflare, Pinecone, SAP, Elastic"
68,Industry-Specific AI Applications,Logistics & Transportation,Demand forecasting for shipping,"Deploy an AI capability for demand forecasting for shipping in logistics & transportation workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Weaviate, Kafka, Haystack, dbt, Trino","IBM watsonx, OpenAI, Twilio, Zendesk, Cohere"
69,Industry-Specific AI Applications,Logistics & Transportation,Document automation (BOL/invoices),"Deploy an AI capability for document automation (bol/invoices) in logistics & transportation workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"MLflow, Argo Workflows, Haystack, Ray, Prometheus","ServiceNow, Zendesk, Oracle, Cohere, SAP"
70,Industry-Specific AI Applications,Logistics & Transportation,Carbon footprint optimization,"Deploy an AI capability for carbon footprint optimization in logistics & transportation workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Grafana, Kubeflow, Hugging Face Transformers, dbt, Haystack","NVIDIA, DataRobot, OpenAI, AWS, ServiceNow"
71,Industry-Specific AI Applications,Education,Personalized learning paths,"Deploy an AI capability for personalized learning paths in education workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"LangChain, LlamaIndex, ONNX, OpenTelemetry, Rasa","Salesforce, Databricks, Confluent, SAP, Elastic"
72,Industry-Specific AI Applications,Education,Assessment & grading assistance,"Deploy an AI capability for assessment & grading assistance in education workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Ray, Hugging Face Transformers, OpenCV, Weaviate, Milvus","Pinecone, Databricks, Cloudflare, OpenAI, Zendesk"
73,Industry-Specific AI Applications,Education,Student support & advising,"Deploy an AI capability for student support & advising in education workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Kafka, PyTorch, scikit-learn, PostgreSQL, Grafana","Snowflake, IBM watsonx, Palantir, SAP, Scale AI"
74,Industry-Specific AI Applications,Education,Academic integrity detection,"Deploy an AI capability for academic integrity detection in education workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Trino, Airflow, KServe, OpenCV, PyTorch","OpenAI, IBM watsonx, Salesforce, UiPath, Scale AI"
75,Industry-Specific AI Applications,Education,Curriculum content generation,"Deploy an AI capability for curriculum content generation in education workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"ONNX, Weaviate, Kafka, Great Expectations, scikit-learn","Pinecone, Palantir, Google Cloud, UiPath, MongoDB Atlas"
76,Industry-Specific AI Applications,Education,Enrollment forecasting,"Deploy an AI capability for enrollment forecasting in education workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"OpenCV, Seldon, ONNX, Kubeflow, Milvus","Cohere, DataRobot, UiPath, MongoDB Atlas, Microsoft Azure"
77,Industry-Specific AI Applications,Education,Accessibility accommodations,"Deploy an AI capability for accessibility accommodations in education workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"ONNX, Milvus, FAISS, Rasa, Weaviate","SAP, MongoDB Atlas, NVIDIA, ServiceNow, Scale AI"
78,Industry-Specific AI Applications,Education,Learning analytics dashboards,"Deploy an AI capability for learning analytics dashboards in education workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Milvus, KServe, LlamaIndex, Ray, Seldon","NVIDIA, Confluent, Cloudflare, Twilio, AWS"
79,Industry-Specific AI Applications,Education,Research assistant tools,"Deploy an AI capability for research assistant tools in education workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Trino, LangChain, Kafka, TensorFlow, KServe","Cohere, Oracle, Zendesk, Confluent, SAP"
80,Industry-Specific AI Applications,Education,Campus operations optimization,"Deploy an AI capability for campus operations optimization in education workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Argo Workflows, Haystack, Grafana, OpenCV, TensorFlow","Elastic, Twilio, Salesforce, Google Cloud, Snowflake"
81,Industry-Specific AI Applications,Government & Public Sector,Citizen service chatbots,"Deploy an AI capability for citizen service chatbots in government & public sector workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Grafana, Milvus, LlamaIndex, Trino, LangChain","Microsoft Azure, Scale AI, OpenAI, Twilio, Palantir"
82,Industry-Specific AI Applications,Government & Public Sector,Benefits eligibility screening,"Deploy an AI capability for benefits eligibility screening in government & public sector workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"ONNX, Feast, LangChain, PostgreSQL, Prometheus","OpenAI, Microsoft Azure, MongoDB Atlas, Oracle, Palantir"
83,Industry-Specific AI Applications,Government & Public Sector,Case management summarization,"Deploy an AI capability for case management summarization in government & public sector workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Airflow, Great Expectations, TensorFlow, spaCy, Weaviate","Anthropic, OpenAI, ServiceNow, Palantir, Confluent"
84,Industry-Specific AI Applications,Government & Public Sector,Fraud/waste/abuse detection,"Deploy an AI capability for fraud/waste/abuse detection in government & public sector workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Qdrant, PostgreSQL, LlamaIndex, KServe, Kafka","Confluent, Oracle, ServiceNow, Zendesk, Twilio"
85,Industry-Specific AI Applications,Government & Public Sector,Public safety analytics,"Deploy an AI capability for public safety analytics in government & public sector workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P0,Yes,"Weaviate, Feast, MLflow, ONNX, Rasa","Twilio, Anthropic, Snowflake, DataRobot, OpenAI"
86,Industry-Specific AI Applications,Government & Public Sector,Document digitization & FOIA,"Deploy an AI capability for document digitization & foia in government & public sector workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"dbt, Weaviate, PostgreSQL, Great Expectations, spaCy","IBM watsonx, MongoDB Atlas, Confluent, Twilio, Elastic"
87,Industry-Specific AI Applications,Government & Public Sector,Policy impact simulation,"Deploy an AI capability for policy impact simulation in government & public sector workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"KServe, LlamaIndex, Trino, LangChain, Airflow","Snowflake, Scale AI, Pinecone, Databricks, Confluent"
88,Industry-Specific AI Applications,Government & Public Sector,Tax compliance analytics,"Deploy an AI capability for tax compliance analytics in government & public sector workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"KServe, TensorFlow, PyTorch, LlamaIndex, FAISS","AWS, MongoDB Atlas, Microsoft Azure, OpenAI, Snowflake"
89,Industry-Specific AI Applications,Government & Public Sector,Emergency response optimization,"Deploy an AI capability for emergency response optimization in government & public sector workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Hugging Face Transformers, Trino, Seldon, OpenTelemetry, Kubeflow","UiPath, Snowflake, Pinecone, ServiceNow, DataRobot"
90,Industry-Specific AI Applications,Government & Public Sector,Language translation for services,"Deploy an AI capability for language translation for services in government & public sector workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"spaCy, Airflow, Haystack, Milvus, Grafana","Anthropic, Google Cloud, OpenAI, Palantir, MongoDB Atlas"
91,Industry-Specific AI Applications,Agriculture,Crop disease detection (vision),"Deploy an AI capability for crop disease detection (vision) in agriculture workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Qdrant, FAISS, Grafana, LlamaIndex, OpenCV","Anthropic, ServiceNow, Pinecone, MongoDB Atlas, Salesforce"
92,Industry-Specific AI Applications,Agriculture,Yield forecasting,"Deploy an AI capability for yield forecasting in agriculture workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Ray, Trino, Grafana, Feast, Seldon","Cohere, Oracle, Pinecone, ServiceNow, Elastic"
93,Industry-Specific AI Applications,Agriculture,Precision irrigation control,"Deploy an AI capability for precision irrigation control in agriculture workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Qdrant, Argo Workflows, Haystack, Hugging Face Transformers, Ray","Google Cloud, Oracle, Elastic, DataRobot, Confluent"
94,Industry-Specific AI Applications,Agriculture,Soil health analytics,"Deploy an AI capability for soil health analytics in agriculture workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Rasa, Feast, Trino, PyTorch, Hugging Face Transformers","NVIDIA, Databricks, Confluent, MongoDB Atlas, Google Cloud"
95,Industry-Specific AI Applications,Agriculture,Farm equipment predictive maintenance,"Deploy an AI capability for farm equipment predictive maintenance in agriculture workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Milvus, Grafana, Trino, Prometheus, Haystack","NVIDIA, Anthropic, Snowflake, ServiceNow, Confluent"
96,Industry-Specific AI Applications,Agriculture,Supply planning for agri-inputs,"Deploy an AI capability for supply planning for agri-inputs in agriculture workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"spaCy, Seldon, scikit-learn, Haystack, Prometheus","Palantir, Elastic, MongoDB Atlas, Confluent, IBM watsonx"
97,Industry-Specific AI Applications,Agriculture,Livestock health monitoring,"Deploy an AI capability for livestock health monitoring in agriculture workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Weaviate, dbt, Rasa, Qdrant, Haystack","Snowflake, SAP, Twilio, Scale AI, Google Cloud"
98,Industry-Specific AI Applications,Agriculture,Commodity price intelligence,"Deploy an AI capability for commodity price intelligence in agriculture workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Feast, spaCy, PyTorch, OpenTelemetry, OpenCV","Elastic, SAP, Databricks, Twilio, ServiceNow"
99,Industry-Specific AI Applications,Agriculture,Traceability & provenance analytics,"Deploy an AI capability for traceability & provenance analytics in agriculture workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Ray, MLflow, Feast, Kafka, Kubeflow","Cohere, Google Cloud, Zendesk, Palantir, NVIDIA"
100,Industry-Specific AI Applications,Agriculture,Weather risk micro-forecasting,"Deploy an AI capability for weather risk micro-forecasting in agriculture workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"LangChain, Weaviate, TensorFlow, Ray, Kubeflow","Elastic, NVIDIA, AWS, Pinecone, Oracle"
101,Industry-Specific AI Applications,Media & Entertainment,Content recommendation,"Deploy an AI capability for content recommendation in media & entertainment workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Kafka, Ray, Rasa, dbt, Hugging Face Transformers","Salesforce, Google Cloud, IBM watsonx, Twilio, OpenAI"
102,Industry-Specific AI Applications,Media & Entertainment,Ad targeting optimization,"Deploy an AI capability for ad targeting optimization in media & entertainment workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Hugging Face Transformers, PyTorch, KServe, MLflow, scikit-learn","Twilio, Pinecone, Oracle, Snowflake, Cloudflare"
103,Industry-Specific AI Applications,Media & Entertainment,Content moderation,"Deploy an AI capability for content moderation in media & entertainment workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P0,Yes,"LangChain, Milvus, Trino, Seldon, Weaviate","Salesforce, Zendesk, Palantir, SAP, ServiceNow"
104,Industry-Specific AI Applications,Media & Entertainment,Subtitle/translation automation,"Deploy an AI capability for subtitle/translation automation in media & entertainment workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"dbt, ONNX, Haystack, OpenTelemetry, MLflow","DataRobot, UiPath, Twilio, Google Cloud, Cloudflare"
105,Industry-Specific AI Applications,Media & Entertainment,Music/audio enhancement,"Deploy an AI capability for music/audio enhancement in media & entertainment workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"FAISS, Trino, Feast, OpenTelemetry, spaCy","AWS, SAP, Google Cloud, Palantir, UiPath"
106,Industry-Specific AI Applications,Media & Entertainment,Video highlight extraction,"Deploy an AI capability for video highlight extraction in media & entertainment workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Weaviate, spaCy, Prometheus, PyTorch, dbt","OpenAI, Oracle, Anthropic, Snowflake, Twilio"
107,Industry-Specific AI Applications,Media & Entertainment,Audience sentiment analytics,"Deploy an AI capability for audience sentiment analytics in media & entertainment workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"KServe, OpenCV, OpenTelemetry, Kubeflow, Haystack","Databricks, SAP, Oracle, Scale AI, NVIDIA"
108,Industry-Specific AI Applications,Media & Entertainment,Rights management analytics,"Deploy an AI capability for rights management analytics in media & entertainment workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P2,No,"Argo Workflows, TensorFlow, Milvus, Rasa, Grafana","OpenAI, NVIDIA, Pinecone, Anthropic, Zendesk"
109,Industry-Specific AI Applications,Media & Entertainment,Generative creative tooling,"Deploy an AI capability for generative creative tooling in media & entertainment workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Seldon, TensorFlow, Trino, Qdrant, PyTorch","Elastic, DataRobot, Microsoft Azure, Salesforce, OpenAI"
110,Industry-Specific AI Applications,Media & Entertainment,Anti-piracy detection,"Deploy an AI capability for anti-piracy detection in media & entertainment workflows. It should integrate with existing systems, handle domain terminology, enforce data governance rules, and provide human review paths for high-risk decisions or low-confidence outputs. The feature must support auditability, measurable outcomes, safe fallbacks, and configurable thresholds so teams can tune performance without retraining every time the business changes.",P1,No,"Kubeflow, spaCy, Airflow, Kafka, LangChain","MongoDB Atlas, Cloudflare, DataRobot, Scale AI, Snowflake"
